N,t,one_qubit,factor_found,n_qubits,depth,n_attempts,simulation_time,total_time,noise
145,10,False,5,28,5953,4,73.09783911705017,291.38372230529785,False
145,10,False,5,28,5953,7,72.618328332901,509.9482846260071,False
145,10,False,5,0.0,0.0,1,0.0,2.0742416381835938e-05,False
145,10,False,29,0.0,0.0,1,0.0,8.58306884765625e-06,False
145,10,False,5,0.0,0.0,1,0.0,7.62939453125e-06,False
145,10,False,29,28,5953,6,72.90662217140198,437.39774990081787,False
145,10,False,29,0.0,0.0,5,0.0,292.186021566391,False
145,10,False,5,0.0,0.0,5,0.0,291.45144271850586,False
145,10,False,5,0.0,0.0,3,0.0,146.22052693367004,False
155,10,False,31,0.0,0.0,8,0.0,509.6960983276367,False
155,10,False,5,0.0,0.0,4,0.0,218.90024852752686,False
155,10,False,5,0.0,0.0,1,0.0,1.1444091796875e-05,False
155,10,False,5,0.0,0.0,9,0.0,583.1722068786621,False
155,10,False,5,0.0,0.0,4,0.0,218.93724751472473,False
155,10,False,5,0.0,0.0,4,0.0,219.26296615600586,False
155,10,False,5,0.0,0.0,7,0.0,437.53229236602783,False
155,10,False,5,0.0,0.0,7,0.0,437.88257670402527,False
155,10,False,5,0.0,0.0,2,0.0,72.95196199417114,False
155,10,False,31,28,5953,5,73.0357882976532,364.92265915870667,False
159,10,False,3,28,5953,1,72.83770298957825,72.83772659301758,False
159,10,False,3,0.0,0.0,1,0.0,2.288818359375e-05,False
159,10,False,3,0.0,0.0,1,0.0,8.821487426757812e-06,False
159,10,False,3,0.0,0.0,4,0.0,218.63811135292053,False
159,10,False,3,0.0,0.0,4,0.0,219.28703045845032,False
159,10,False,53,28,5953,1,72.91529250144958,72.9153048992157,False
159,10,False,3,0.0,0.0,5,0.0,291.50833678245544,False
159,10,False,3,0.0,0.0,10,0.0,655.3577547073364,False
159,10,False,3,0.0,0.0,1,0.0,1.0967254638671875e-05,False
159,10,False,3,0.0,0.0,3,0.0,145.99101972579956,False
161,10,False,7,0.0,0.0,2,0.0,72.92096257209778,False
161,10,False,7,0.0,0.0,6,0.0,365.8191771507263,False
161,10,False,23,0.0,0.0,6,0.0,365.6071262359619,False
161,10,False,7,0.0,0.0,10,0.0,655.150976896286,False
161,10,False,7,0.0,0.0,5,0.0,292.0689187049866,False
161,10,False,7,0.0,0.0,2,0.0,72.72676229476929,False
161,10,False,7,0.0,0.0,5,0.0,292.0972125530243,False
161,10,False,7,0.0,0.0,1,0.0,1.049041748046875e-05,False
161,10,False,7,0.0,0.0,11,0.0,729.4577345848083,False
161,10,False,7,0.0,0.0,2,0.0,72.53246092796326,False
177,10,False,3,0.0,0.0,5,0.0,290.9548079967499,False
177,10,False,59,28,5953,2,72.90438294410706,145.99234127998352,False
177,10,False,3,0.0,0.0,1,0.0,2.5987625122070312e-05,False
177,10,False,3,28,5953,4,73.29122972488403,292.10942554473877,False
177,10,False,3,0.0,0.0,1,0.0,2.5510787963867188e-05,False
177,10,False,3,0.0,0.0,2,0.0,72.90254068374634,False
177,10,False,3,0.0,0.0,1,0.0,1.1920928955078125e-05,False
